epoch,accuracy,loss,val_accuracy,val_loss
0,0.4151785671710968,1.3018853664398193,0.6696428656578064,1.068228006362915
1,0.8035714030265808,0.7045490145683289,0.6785714030265808,0.8162075281143188
2,0.9241071343421936,0.3246224820613861,0.8303571343421936,0.5227302312850952
3,0.9508928656578064,0.21863484382629395,0.8839285969734192,0.46815967559814453
4,0.9910714030265808,0.1392260640859604,0.9196428656578064,0.3443162143230438
5,1.0,0.10605926066637039,0.9285714030265808,0.3279046416282654
6,1.0,0.09252826124429703,0.9196428656578064,0.28982144594192505
7,1.0,0.082496777176857,0.9375,0.2791955769062042
8,1.0,0.0763649195432663,0.9464285969734192,0.27912813425064087
9,1.0,0.0717509463429451,0.9196428656578064,0.31018128991127014
10,1.0,0.06886633485555649,0.9375,0.26456907391548157
11,1.0,0.06384935230016708,0.9464285969734192,0.25636357069015503
12,1.0,0.060892634093761444,0.9285714030265808,0.2641722559928894
13,1.0,0.057998668402433395,0.9375,0.2599562704563141
14,1.0,0.05576261505484581,0.9375,0.2677137553691864
15,1.0,0.053467120975255966,0.9285714030265808,0.2558615803718567
16,1.0,0.05260610207915306,0.9375,0.25402310490608215
17,1.0,0.0513821579515934,0.9375,0.24528709053993225
18,1.0,0.04960734024643898,0.9375,0.24482190608978271
19,1.0,0.04850553721189499,0.9375,0.24028977751731873
20,1.0,0.047735922038555145,0.9375,0.2434994876384735
21,1.0,0.0466870442032814,0.9375,0.2327001839876175
22,1.0,0.045611973851919174,0.9375,0.24566780030727386
23,1.0,0.045058220624923706,0.9375,0.2372984141111374
24,1.0,0.04382617026567459,0.9375,0.23009786009788513
25,1.0,0.04282458871603012,0.9375,0.23761053383350372
26,1.0,0.04183981195092201,0.9375,0.2253877967596054
27,1.0,0.040909022092819214,0.9464285969734192,0.23549585044384003
28,1.0,0.040273550897836685,0.9375,0.22523601353168488
29,1.0,0.03968752548098564,0.9375,0.22975535690784454
