epoch,accuracy,loss,val_accuracy,val_loss
0,0.2857142984867096,1.4061933755874634,0.25,1.378275990486145
1,0.4821428656578064,1.3478020429611206,0.4910714328289032,1.3320560455322266
2,0.4241071343421936,1.2799453735351562,0.4375,1.226760745048523
3,0.59375,1.0779613256454468,0.5892857313156128,1.0164817571640015
4,0.7142857313156128,0.830132782459259,0.7232142686843872,0.9228184819221497
5,0.8125,0.6633319854736328,0.8035714030265808,0.7782944440841675
6,0.8482142686843872,0.5387328267097473,0.8303571343421936,0.6429241299629211
7,0.8794642686843872,0.4508197605609894,0.8392857313156128,0.6055534482002258
8,0.9241071343421936,0.34409618377685547,0.8214285969734192,0.6155734658241272
9,0.9241071343421936,0.3217103183269501,0.8660714030265808,0.48123741149902344
10,0.9285714030265808,0.2776687443256378,0.875,0.43314328789711
11,0.9553571343421936,0.21821193397045135,0.8839285969734192,0.44305747747421265
12,0.96875,0.16529390215873718,0.9107142686843872,0.384617418050766
13,0.9776785969734192,0.16159246861934662,0.8928571343421936,0.3844428062438965
14,0.9821428656578064,0.14486296474933624,0.9107142686843872,0.37259817123413086
15,0.9910714030265808,0.11275877803564072,0.8928571343421936,0.3774550259113312
16,0.9955357313156128,0.10314217954874039,0.9107142686843872,0.34496912360191345
17,1.0,0.09162767231464386,0.9107142686843872,0.34416231513023376
18,0.9955357313156128,0.08496967703104019,0.9285714030265808,0.32045578956604004
19,1.0,0.07593188434839249,0.9017857313156128,0.3451155126094818
20,0.9955357313156128,0.08187073469161987,0.8928571343421936,0.3741913437843323
21,1.0,0.0770472064614296,0.9017857313156128,0.33828362822532654
22,1.0,0.07246500253677368,0.9017857313156128,0.3414452373981476
23,1.0,0.06398832052946091,0.9017857313156128,0.31565675139427185
24,1.0,0.05852799490094185,0.9196428656578064,0.3112645149230957
25,1.0,0.05656808987259865,0.8928571343421936,0.31141552329063416
26,1.0,0.057222072035074234,0.9107142686843872,0.3201464116573334
27,1.0,0.05354839190840721,0.9017857313156128,0.3267097473144531
28,1.0,0.05063285678625107,0.9107142686843872,0.31665387749671936
29,1.0,0.04801241308450699,0.9107142686843872,0.30332860350608826
