epoch,accuracy,loss,val_accuracy,val_loss
0,0.3839285671710968,1.3223505020141602,0.5178571343421936,1.1321702003479004
1,0.6964285969734192,0.8334848284721375,0.7321428656578064,0.7178192138671875
2,0.8125,0.5400949716567993,0.75,0.6200879216194153
3,0.8883928656578064,0.37454360723495483,0.8660714030265808,0.4879530966281891
4,0.9196428656578064,0.29153960943222046,0.8303571343421936,0.516864001750946
5,0.9553571343421936,0.2345048040151596,0.8839285969734192,0.3917843699455261
6,0.9776785969734192,0.1641947478055954,0.9107142686843872,0.3552263081073761
7,1.0,0.13147465884685516,0.875,0.3811815679073334
8,0.9955357313156128,0.11508170515298843,0.9107142686843872,0.34478050470352173
9,1.0,0.10957550257444382,0.9196428656578064,0.3528556227684021
10,1.0,0.09359168261289597,0.9107142686843872,0.3030305504798889
11,1.0,0.08255088329315186,0.9196428656578064,0.305520623922348
12,1.0,0.07642718404531479,0.9107142686843872,0.29636186361312866
13,1.0,0.0735153928399086,0.9107142686843872,0.27808281779289246
14,1.0,0.06673254072666168,0.9017857313156128,0.2801690101623535
15,1.0,0.06344615668058395,0.9017857313156128,0.2746860682964325
16,1.0,0.06054822728037834,0.9107142686843872,0.2716382145881653
17,1.0,0.057409416884183884,0.9107142686843872,0.270734578371048
18,1.0,0.054360002279281616,0.9196428656578064,0.2638123631477356
19,1.0,0.05366193875670433,0.8928571343421936,0.26500505208969116
20,1.0,0.05196388438344002,0.9107142686843872,0.25693610310554504
21,1.0,0.049617182463407516,0.9107142686843872,0.25729289650917053
22,1.0,0.04799493029713631,0.9017857313156128,0.2536453902721405
23,1.0,0.0458955280482769,0.9196428656578064,0.247506245970726
24,1.0,0.044490594416856766,0.9017857313156128,0.24615298211574554
25,1.0,0.04333512857556343,0.9196428656578064,0.25067847967147827
26,1.0,0.04153333976864815,0.9196428656578064,0.24936839938163757
27,1.0,0.040893521159887314,0.9107142686843872,0.25428298115730286
28,1.0,0.039732810109853745,0.9196428656578064,0.2497377097606659
29,1.0,0.038584209978580475,0.9107142686843872,0.23939336836338043
